P#,Country,DRM Pillar,Prior Action,Result Indicator
P163939,Maldives,DRM policies and institutions,"Approval and adoption of the Nationally Determined Contribution (NDC) Implementation Plan. Legal evidence: NDC Implementation Plan endorsed by MEE through a Ministry
of Environment and Energy’s Permanent Secretary’s letter dated February 13,
2018, No: 438-CCD/WB/2018/1",EWS is supported with expanded meteorological observation network with automated weather station (AWS)
P163939,Maldives,DRM policies and institutions,"Establishment of the National Disaster Management Authority (NDMA) which will focus on mainstreaming disaster risk reduction in national planning, processes, standards and policies. Legal evidence: Issuance of Presidential decree 2018/24 of December 30, 2018
as per the Disaster Management Act 28/2015.","The Nat. Disaster Management Authority (NDMA) reports on NEOP readiness
The Nat. Disaster Management Plan is drafted"
P163939,Maldives,Sector-specific risk reduction measures,"Enactment of the Building to ensure buildings are safe, healthy and durable for the people who use them (as evidenced by the publication of the building code in the official Gazette on March 30, 2019). Legal Evidence: The Building Code has been enacted as per the Construction
Act 2017, in the Maldives Official Gazette of March 30, 2019, No. 2019/R-1020.",The Building Code has been enforced through the issuance of compliance documents
P163939,Maldives,Sector-specific risk reduction measures,"Drafting of the Water and Sewerage Regulations, establishing the legal framework to govern the quality and assurance of the WS services from project design to management and operation of systems, and to optimize these services towards the benefit of the island communities. Legal evidence: Draft Water and Sewerage Regulations by the Ministry of
Environment through its Permanent Secretary’s letter dated May 22, 2019, No:
438-WS/WB/2019/2.","Sewerage service coverage
Water service coverage"
P163939,Maldives,Emergency Preparedness and Response,"Establishment of a Health Emergency Operation Center (HEOC) at the MoH. Legal evidence: Health Emergency Operations Center (HEOC) was officially
established by MoH Permanent Secretary’s letter dated January 23, 2018;
Number: 23-S/PRIV/2018/73.",Simulations exercises on the activation and use of the HEOC are carried out
P163939,Maldives,Emergency Preparedness and Response,"Development and endorsement of a Health Emergency Operations Plan, that increases the government’s preparedness and response capacities for health crisis. Legal evidence: The Health Emergency Operations Plan was published and
endorsed by the MoH Permanent Secretary’s letter on May 30, 2018,
Endorsement Number: Plan/23/-MoH/2018/11.",Health workers trained on the HEOP's gender-specific activities in crisis situations.
P165056,Malawi,DRM policies and institutions,The Recipient’s Cabinet of Ministers has approved the Malawi Disaster Risk Management Bill that will define a shift in the institutional framework from emergency response to a more holistic and comprehensive DRM approach.,"Results Indicator 1: Number of Technical Sub-committees operationalizing a more comprehensive DRM approach as established in the Malawi Disaster Risk Management Bill
Results Indicator 2: Annual reports on NRS and/or MGDS III monitoring progress on results, budget allocations, and expenditures on disaster risk management and social protection"
P165056,Malawi,Territorial and urban planning,"The Recipient, through its Cabinet of Ministers, has approved and adopted the Malawi National Urban Policy which incorporates DRM and climate change as cross-cutting topics and facilitates the development of other policy instruments needed to improve urban resilience.","Results Indicator 5: Number of cities with appropriate hazard maps that inform the location of public infrastructure and physical development
Results Indicator 6: Number of cities and districts where stakeholders have been trained on existing standards and building policy/regulations that incorporate multi-hazard resilience"
P165056,Malawi,Sector-specific risk reduction measures,"The Recipient, through its Minister of Health and Population, has approved and adopted the Public Health Institute of Malawi’s Strategic Plan (2018-2022).",Results Indicator 4: National Public Health Emergencies Committee established and operating in accordance with the MoU that clarifies all ministry roles and responsibilities relevant to International
P165056,Malawi,Sector-specific risk reduction measures,"The Recipient, through its Minister of Education, Science and Technology, has approved and adopted the Safer School Construction Guidelines which will ensure multi-hazard resilient design and construction of public education infrastructure, and outline a way forward for safe location, selection of materials, and construction techniques for safer schools.",Results Indicator 8: Percentage of new educational facilities constructed or rehabilitated in compliance with the technical hazard-resilient criteria adopted by MoEST
P165056,Malawi,Sector-specific risk reduction measures,"The Recipient, through its Cabinet of Ministers, has approved and adopted the Malawi National Transport Policy which promotes mechanisms for resilient design, construction and operation of transport infrastructure",Results Indicator 7: Number of new national transport projects implemented by the Roads Authority that apply the new harmonized multi-hazard resilience standards
P165056,Malawi,Early Warning Systems,"The Recipient, through its Cabinet of Ministers, has approved and adopted the Malawi National Meteorology Policy which will guide the modernization of climate and meteorological services central to providing quality and timely information for resilient development.","Results Indicator 3: Number of user sectors receiving tailor-made forecasts and early warning bulletins with the appropriate content, frequency, communication channels and in local languages"
P165056,Malawi,Adaptive Social Protection,The Recipient’s National Social Support Steering Committee has approved and adopted the Malawi National Social Support Programme II (2018-2023) and Implementation Plan which prioritizes development of a shock-sensitive social protection system.,"Results Indicator 9: UBR data sharing protocols implemented, as evidenced by percentage of shock-affected households identified through the UBR that are targeted for post-disaster support"
P165056,Malawi,Disaster Risk Financing strategies and instruments,"The Recipient’s Minister of Finance, Economic Planning and Development has approved and adopted a Disaster Risk Financing Strategy (DRFS) and Implementation Plan, outlining the Government’s strategic objectives to strengthen financial preparedness for effective and timely disaster response",Results Indicator 10: Number of new ex-ante risk financing instruments* established in alignment with the National Disaster Risk Financing Strategy
P165928,Samoa,Not DRM,"The Recipient, through its Cabinet, has approved recommendations to simplify the capital gains tax regime and facilitate the collection of capital gains tax.",RI#1: Revenue buoyancy (domestic tax and nontax revenues as a percent of GDP) increases from recent average levels.
P165928,Samoa,Not DRM,"The Recipient, through its Parliament, has enacted the Money Laundering Prevention Amendment Act 2018, which enhances the Recipient’s compliance with anti-money laundering and countering terrorist financing international standards.","RI#2: Improvement in compliance with the FATF recommendations, as assessed by the July 2018 follow-up to the 2015 Mutual Evaluation Report.
"
P165928,Samoa,Not DRM,"The Recipient, through its Cabinet, has approved the Alcohol Control Bill, to minimize harmful effects from the consumption and abuse of alcohol.","RI#8: Relative price of tobacco, alcohol, and sugary and salty products increases."
P165928,Samoa,Not DRM,"The Recipient, through its Ministry of Finance, has approved the introduction of an integrated, computerized inventory management system for pharmaceuticals, to boost the efficiency of medicines procurement and help prevent stock outs and reduce wastage.",RI#9: Unit price of select medicines declines relative to benchmarks.
P165928,Samoa,Territorial and urban planning,"The Recipient, has i) through its Cabinet, approved Community Integrated Management Plans to strengthen the resilience of all 41 districts to the impacts of climate change and natural disasters, and ii) made these plans publicly available.","RI#7 (DPO2): A review of the implementation of CIM plan solutions is completed before June 2021 for at least one third of the 41 districts, with each review and its findings to be approved by the Climate Resilience Steering Committee"
P165928,Samoa,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has approved Guidelines for the Application of the National Building Code, which will help to strengthen new single-story residential housing against climate-related risks and earthquakes.",RI#4: Revised: Revised national building code implemented and monitored
P165928,Samoa,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has approved the Samoa Infrastructure Asset Management Strategy, to help improve the life-cycle management and resilience of public infrastructure to climate and disaster risks.","RI#5: Number of approved road designs informed by the Vulnerability Assessment
RI#6 (DPO2): Number of improvement initiatives identified in the SIAMS that have been implemented"
P166303,Romania,DRM policies and institutions,The Borrower has established the National Platform for Disaster Risk Reduction and the platform is in effect.,"A.1. The Government of Romania has reported on progress achieved under the international Sendai Framework for Disaster Risk Reduction.
A.2. Romanian citizens have enhanced understanding of the potential impacts of disasters and how they can prevent, prepare and respond to disasters through public awareness campaigns, drills and digit"
P166303,Romania,Risk Identification,"The Borrower has (I) in line with EU Regulation No.1303/2013, submitted to the European Commission the national assessment of disaster risks to access the EU Structural Investment Funds Program (2014-2020) for enhanced emergency response, and (ii) made available to the public on the Ro-Risk Platform data and reports on disaster risk assessment","B2. Disaster risk reduction action plans are prepared and approved by the relevant responsible authorities.
B3. The fiscal and budgetary strategy is informed by main disaster risks and their potential fiscal impact, taking into consideration publicly available Ro-Risk data."
P166303,Romania,Sector-specific risk reduction measures,"The Borrower, through the National Commission for Earthquake Engineering, the Technical Commission for Actions on Buildings, and the Technical Commission for Structural Systems, has endorsed the draft, revising the building design code for seismic risk in existing buildings (P100-3/2008).",B1. The national building code for seismic risk in existing buildings is strengthened.
P166303,Romania,Emergency Preparedness and Response,The Borrower has adopted a national emergency management information system for emergency and disaster response (SMISU) and the system is effective nationwide,A.3. Reports are available annually on the impact of disasters in Romania.
P166788,Nepal,DRM policies and institutions,"Approval of the updated Climate Change Policy 2019 that reflects national and international commitments made by the Government of Nepal, in line with the country’s federal governance structure, and guides sectoral plans to build a resilient society by reducing the risk of climate change impacts. Legal evidence: Updated Climate Change Policy 2019 has been approved by the
Council of Ministers on August 21, 2019. http://mofe.gov.np/downloadsdetail/8/2018/36366627/ (first link, published date 2019-09-03).","Number of CC Coordination Committees formed under the ministries of: Industry, Tourism, and Forest and Environment in seven provinces"
P166788,Nepal,DRM policies and institutions,"Approval of the Disaster Risk Reduction and Management Regulation, which defines DRRM operational procedures and institutional roles and responsibilities in the country, including the National DRRM Authority as mandated by the 2017 DRRM Act. Legal Evidence: Disaster Risk Reduction and Management Regulation was approved by the Council of Ministers and published in Gazette on May 6, 2019 – Section 69, Number 4. (http://rajpatra.dop.gov.np/welcome/book/?ref=23669).",National Disaster Risk Reduction and Management Authority established and operational:
P166788,Nepal,Sector-specific risk reduction measures,"Approval of the updated Nepal National Building Code 105: 2019, Seismic Design of Buildings in Nepal, aimed to enhance seismic resilience of the buildings Legal Evidence: Nepal National Building Code 105 update was endorsed by the Building Construction Management and Improvement Committee on January 1, 2020, as required by the Building Act of Nepal 1998.",New Government buildings built that comply with the technical seismic-resistant criteria of the updated Nepal National Building Code 105
P166788,Nepal,Emergency Preparedness and Response,"Approval of the National Pandemic Preparedness and Response Plan (NPPRP), which enhances government’s preparedness and response capacities for pandemic crisis. Legal evidence: The National Pandemic Preparedness and Response Plan was approved by the Ministry of Health and Population through a letter dated November 26, 2019 (2076.08.10).",Simulation exercises on activation/use of NPPRP; ensuring Essential Health Care Services (EHCS) to meet the direct needs of women and other vulnerable groups
P167941,Madagascar,DRM policies and institutions,"The Recipient has: (a) updated the Disaster Risk Management (DRM) system at the national and regional level which includes, inter alia, the provision of creating DRM offices at the regional level; and (b) defined the respective roles of the National Disaster Risk Management Bureau (BNGRC) and the Unit for the Prevention and Management of Emergencies (CPGU) by identifying that the BNGRC leads all operational aspects of DRM, while the CPGU is responsible for strategic planning.",Number of people covered by Regional DRM Offices in most-at-risk areas.
P167941,Madagascar,Mainstreaming DRM into national development plans,"The Recipient has adopted a methodology and issued guidelines to mainstream climate change adaptation and DRM into urban, communal, and regional planning.","Percentage of the national territory covered by regional planning documents (SRAT) that follow the new risk management and resilience approach.
Percentage of rural population covered by communal planning documents (SAC) that follow the new risk management and resilience approach.
Percentage of urban population covered by urban planning documents (PUDi) that follow the new risk management and resilience approach."
P167941,Madagascar,Sector-specific risk reduction measures,"The Recipient has adopted a resilient buildings regulatory framework implementing Law No 2015-052 of February 3rd, 2016 on urban, development and housing.",Percentage of new primary school buildings constructed according to the new codes/regulations
P167941,Madagascar,Adaptive Social Protection,The Recipient has defined its legal framework to implement a shock-responsive social protection mechanism.,"Number of humanitarian agencies that use the Governmental Social Protection System for disaster response.
Scalable Social Protection System in place for rapid and slow onset disasters with adequate operational procedures."
P167941,Madagascar,Disaster Risk Financing strategies and instruments,The Recipient has strengthened its financial capacity to respond to disaster and address the challenge of insufficient immediate disaster response through the creation of the National Disaster Fund to finance disaster preparedness and emergency response.,"National Disaster Fund is operational as shown by the adoption of an operations manual, an annual budget allocation to the fund, and the publication of audited financial statements of the fund."
P167941,Madagascar,Disaster Risk Financing strategies and instruments,The Recipient’s Prime Minister has submitted to Parliament a draft new insurance law that (a) allows the purchase of sovereign catastrophe insurance from foreign entities if such coverage is not offered by Malagasy insurance companies and (b) allows insurers to develop products that will assist households and enterprises to improve their climate and disaster resilience.,The Government has contracted sovereign catastrophe insurance against tropical cyclone risk in accordance with its disaster risk finance strategy.
P168580,Morocco,Early Warning Systems,The Borrower has adopted a cooperation framework to strengthen flood management and early warning systems in the country.,Number of provinces covered by an integrated flood risk management information system.
P168580,Morocco,Emergency Preparedness and Response,The Borrower has strengthened the human resources management system of its Civil Protection.,"Number of Civil Protection search and rescue units applying operational and staffing procedures in line with INSARAG standards
Percentage increase in the number of female staff members in the Civil Protection"
P168580,Morocco,Adaptive Social Protection,The Borrower has defined the register model and enrollment procedures for the registry of victims of catastrophic events.,"Share of local officials of the Ministry of Interior responsible for the administration of the register trained on the registration procedures.
The Government has deployed an online platform for the registration of people affected by a catastrophic event.
The Government has developed a specific outreach and communication mechanism to inform the population of the registration procedures for people affected by a catastrophic event, with a focus on women."
P168580,Morocco,Disaster Risk Financing strategies and instruments,The Borrower has registered the FSEC as a public institution and appointed its director.,Availability of an audit of the FSECs internal control systems confirming that the FSECs systems and procedures allow for the appropriate use of funds.
P168580,Morocco,Disaster Risk Financing strategies and instruments,The Borrower has established a sustained financing mechanism for the FSEC.,Annual revenues from the new parafiscal tax created to finance the FSEC.
P168580,Morocco,Disaster Risk Financing strategies and instruments,"The Borrower’s ACAPS has adopted Circulaire No. AS/03/19 amending Circulaire No. 01/AS/19, to establish prudential requirements on insurance companies to strengthen their financial capacity against catastrophic events.",Insurance companies comply with the prudential requirements established by the circular.
P168749,Vanuatu,Not DRM,"The Recipient’s Council of Ministers has approved a Debt Management Strategy 2019-2022, which contains measures to minimize the costs and risks associated with the Recipient’s public debt, and sets out plans to strengthen the Recipient’s public debt management",Compliance with the Debt Management Strategy (DMS) condition of a minimum 35 percent grant element for any new external financing.
P168749,Vanuatu,DRM policies and institutions,"The Recipient’s Council of Ministers has approved, and submitted to the Parliament, a Bill for the Disaster Risk Management Act, which provides for an integrated approach to disaster risk reduction and climate change adaptation, disaster preparedness, response and recovery at national and local levels.","Number of Provincial and Municipal Disaster and Climate Change Committees (PDCCCs and MDCCCs) established with funded annual work plans
Disaster Recovery Framework developed and approved for implementation by Council of Ministers."
P168749,Vanuatu,Territorial and urban planning,"The Recipient’s Council of Ministers has approved a National Land Subdivision Policy, which provides for risk-informed land and settlement development, with minimum standards for disaster risk reduction.","Subdivision Regulations integrating affordability, climate and disaster resilience adopted and applied.
Disaster and climate-risk informed Land Management Planning Committee (LMPC) guidelines adopted and applied."
P169956,St. Vincent and the Grenadines,Not DRM,"Approval of a supplementary income program for displaced hotel and other affected workers for up to three months and including support to taxi, water taxi and tour operators affected by the cancellation of cruise ships.","RI1: Beneficiaries who received program support
RI1: Female beneficiaries of program support"
P169956,St. Vincent and the Grenadines,Disaster Risk Financing strategies and instruments,"The Recipient, through its Cabinet, has approved regulations for the operation of the contingencies fund.",RI12: Level of funds in the contingencies fund
P169956,St. Vincent and the Grenadines,Sector-specific risk reduction measures,"The Recipient, through its Minister, has adopted revised Building Regulations in the Town and Country Planning Act relating to the enforcement and application of OECS Building Codes to strengthen resilience to natural disasters.",RI13: Share of permit applications for new buildings approved in compliance with the updated building codes guidelines
P169956,St. Vincent and the Grenadines,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has approved the School Safety Policy to enhance physical, environmental and social protection levels at education facilities",RI14: Number of schools used as emergency shelters that have completed comprehensive disaster management plans and submitted to the Ministry of Education
P169956,St. Vincent and the Grenadines,Not DRM,"Approved a support program for small businesses and cultural workers, as well as a direct support program for farmers and individuals engaged in the fishing sector.",RI2: Beneficiaries who received program support
P169956,St. Vincent and the Grenadines,Not DRM,The National Insurance Service has approved a pre-payment program of pension benefits to pensioners and a Temporary Unemployment Benefit designed to provide relief to employees who have directly lost income as a result of the effects of the pandemic and the government has approved a program of Interim Assistance Benefits (IAB) for vulnerable citizens who are neither pensioners nor social welfare beneficiaries.,"RI3: Beneficiaries who received pre-payments, TUB benefits, and IAB support."
P169956,St. Vincent and the Grenadines,Not DRM,"The Recipient, through its Parliament, has approved a Parliamentary Fiscal Responsibility Resolution that outlines declaratory fiscal responsibility principles, and sets targets for spending, fiscal balances and public debt level.",RI4: Public debt convergence to the ECCU target of 60 percent of GDP by 2030.
P169956,St. Vincent and the Grenadines,Not DRM,"The Recipient, through its Cabinet, has adopted procurement regulations in support of, and as required by, the new Public Procurement Act.",RI5: Analysis of government-wide procurement spending published by MOF
P169956,St. Vincent and the Grenadines,Not DRM,"The Recipient, through its Parliament, has approved a revised Tax Administration Act aimed at increasing transparency, consistency, and increasing domestic resource mobilization by facilitating compliance.",RI6: Revenue from taxes on income and profits
P169956,St. Vincent and the Grenadines,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has adopted a time-based phase out of coastal sand mining throughout the national territory.",RI8: Volume of domestically mined coastal sand reduced
P169956,St. Vincent and the Grenadines,Not DRM,"The Recipient, through its Minister of Health, Wellness and the Environment, has phased out the importing, distribution and use of single-use plastic bags and plastic food service containers to reduce waste generation and marine pollution.",RI9: Imported single-use plastic bags reduced
P170558,Tuvalu,Not DRM,"The Recipient, through its Cabinet, has established the Tuvalu Medical Treatment Scheme (TMTS) Review Committee and directed the TMTS Review Committee to develop a draft policy to reduce overseas medical treatment costs.",Spending on overseas medical treatment as a percentage of GDP
P170558,Tuvalu,Not DRM,"The Recipient, through its Cabinet, has approved: (i) the Public Procurement Manual; (ii) the Procurement Complaints and Appeals Rules of Procedure; and (iii) the Procurement Suspension and Debarment Procedure.",Level of competition -average percentage of major procurement (value) through competition.
P170558,Tuvalu,Not DRM,"The Recipient, through its Cabinet, has approved the Tuvalu National Policy for Persons with Disability.","#1: Number of employed teachers who are trained in inclusive and special education.
#2: Community disaster plans and school evacuation plans include provision for people with disabilities."
P170558,Tuvalu,Not DRM,"The Recipient, through its Cabinet, has approved the Waste Management (Levy Deposit) Regulation2019 and the Waste Management (Prohibition on the Importation of Single-Use Plastic) Regulation 2019.",Quantity of recyclable waste exported.
P170558,Tuvalu,Sector-specific risk reduction measures,"The Recipient, through its Cabinet, has approved the Tuvalu Asset Management Framework.",Asset investment plans (based on disaster and climate vulnerability) under implementation for selected asset classes
P170558,Tuvalu,Sector-specific risk reduction measures,The Recipient has enacted and published the Building Act 2019 to improve the quality of buildings.,Percent of new public buildings and dwellings complying with Building Regulations and Code.
P171465,Grenada,Public investment at the central level,"The Recipient has amended the Public Finance Management (PFM) Regulations Part XIII-PSIP Selection and Prioritization Criteria and Procedure and Reporting Regulation 258.2 (a) (i) to include climate resilience criteria in the screening of PSIP projects and public private partnerships, as evidenced by the publication of the amended PFM Regulations in the Government Gazette No. 4734, Volume 137, dated October 31, 2019.",3: Percentage of annual infrastructure project proposals under Public Sector Investment Program (PSIP) screened through the new review process.
P171465,Grenada,Sector-specific risk reduction measures,"The Recipient has adopted the Antigua and Barbuda Declaration on School Safety in the Caribbean, including the Roadmap on School Safety, establishing priorities to enhance the physical, environmental, and social protection levels of education facilities, as well as to increase the awareness of the school community on resilience, as evidenced by the Annex to the Antigua and Barbuda Declaration on School Safety adopted by the Recipient on April 30, 2019 during the Second Caribbean Safe School Ministerial Forum.","1a: Percentage of schools with approved comprehensive disaster management plans.
1b: Percentage of schools screened for physical hazards."
P171465,Grenada,Emergency Preparedness and Response,"The Recipient has adopted coordination protocols for the declaration of national and subnational emergencies, as evidenced by the adoption of said protocols by the Minister with responsibility for disaster management as of November 15, 2019, as published in the Government Gazette No. 51, Volume 137, dated November 15, 2019.",2: Percentage of National DRM agency (NaDMA)-led emergency responses (including simulation/drills) that apply the Coordination Protocol.
P171465,Grenada,Fiscal Risk,"The Recipient has approved the development of a budget classifier to include provisions that enable the classification and reporting on post disaster expenditure in relief, recovery and reconstruction, as evidenced by Cabinet Conclusion No. 1204, dated September 9, 2019.",5: Number of the Recipient Annual Fiscal Risk Statements that identify climate resilience and post-disaster allocations and/or expenditures.
P171465,Grenada,Disaster Risk Financing strategies and instruments,"The Recipient has adopted the Grenada National DRFS, thereby providing a comprehensive framework for using multiple instruments and programs to strengthen financial resilience for improved disaster risk management, as evidenced by Cabinet Conclusion No. 1204, dated September 9, 2019.",4: Number of the Recipient Annual Budget Statements that identify and explicitly quantify government contingent liabilities.
P171465,Grenada,Disaster Risk Financing strategies and instruments,"The Recipient has established a pilot insurance mechanism to take effect from July 1, 2019 to June 30, 2020 to support fisheries workers in recovering economic losses from extreme weather events, as evidenced by Cabinet Conclusion No. 613 dated May 13, 2019.",6: Number of new fisheries workers formally registered for the climate risk insurance mechanism.
P171764,Samoa,Not DRM,"To support vulnerable individuals and households in response to COVID-19, the Recipient, through its Cabinet, has approved and implemented top-ups of the senior citizens’ benefit, as part of its FY2020 supplemental budget and its FY2021 budget","Number of eligible recipients benefiting from government assistance
Improved gender equality in the workplace"
P171764,Samoa,Not DRM,"To support workers losing employment in response to COVID-19, the Recipient, through its Cabinet, has approved the introduction of an unemployment benefit and a short-term paid training scheme as part of its FY2021 budget.","Number of unemployed benefiting from government assistance
Increase in number of foreign investment registrations"
P171764,Samoa,Not DRM,"To improve businesses’ compliance with their value-added goods and services tax payment obligations, the Recipient has enacted amendments to the Tax Administration Act, and the Recipient’s Head of State has made implementing regulations that facilitate the introduction of a tax invoice monitoring system.",Increase in collection of taxes on goods and services as a proportion of GDP
P171764,Samoa,Not DRM,"To provide guidelines for eligibility, set monitoring and reporting requirements, and establish a framework for the terms and conditions of on-lending arrangements, the Recipient, through its Cabinet, has approved a policy governing on-lending to state-owned enterprises","Full compliance with MTDS in terms of requirements for new external debt concessionality
Risk assessments conducted and accounted for in deciding on eligibility for new onlending arrangements"
P171764,Samoa,Sector-specific risk reduction measures,"To protect Samoans from infectious diseases, the Recipient has enacted the Infants Amendment Act 2019 which mandates the vaccination of children as a condition of school enrolment.","Children are immunized against measles, mumps and rubella"
P171764,Samoa,Sector-specific risk reduction measures,"To regulate the standard of building practitioners and contractors and improve the resilience of buildings, the Recipient, through its Cabinet, has approved a Building Practitioners’ Licensing and Registration Policy.","Building practitioners licensed and registered
Risks and contingent financing strategies for natural disasters incorporated into budget documentation"
P171764,Samoa,Early Warning Systems,"To provide the Meteorological Services Division with the formal authority to coordinate and transmit early warnings and request information necessary to perform this function, the Recipient, through its Cabinet, has approved the Meteorology, Geoscience and Ozone Services Bill 2020",Early warnings issued convey potential impacts and actions needed to reduce harm to life and damage to assets
P172567,Honduras,DRM policies and institutions,The Recipient has strengthened its institutional DRM capacity by establishing the Ministry of Disaster Risk Management and National Contingencies (Secretaría de Estado en los Despachos de Gestión de Riesgos y Contingencias Nacionales) and subjecting COPECO to said institution’s administrative jurisdiction.,New or updated Sistema Nacional de Gestion de Riesgos (SINAGER) DRM instruments formulated and approved by the new Ministry of Disaster Risk Management and National Contingencies (COPECO)
P172567,Honduras,Sector-specific risk reduction measures,"The Recipient has improved its national and local water management capacities, including DRM and CCA, through the adoption of a Special Regulation on Water Basin Organizations.","A National Water Authority established and operational
Water Basin Councils created and operating to reduce water-related risks, in the Dry Corridor region in line with the Water Security Strategy"
P172567,Honduras,Early Warning Systems,"The Recipient has strengthened its health surveillance system by adopting best international practices on early detection, monitoring and response to epidemics and disease outbreaks.","Weekly epidemiological reports of mandatory notifiable conditions, produced and disseminated following international standards"
P172567,Honduras,Emergency Preparedness and Response,"The Recipient has strengthened its preparedness and response capacities for pandemics, epidemics and health emergencies by approving the National Pandemic, Epidemic and Health Emergency Response Plan.","Health regions with a Regional Pandemic, Epidemic and Health Emergency Response Plan adopted by the Ministry of Health"
P172567,Honduras,Emergency Preparedness and Response,The Recipient has strengthened DRM and CCA at the municipal level by defining responsibilities for the formulation and adoption of local emergency plans that contribute to prevent and address climate risks.,Municipalities that have formulated or updated and formally approved their local emergency plans in accordance with the new operational guidelines
P172567,Honduras,Fiscal Risk,The Recipient has strengthened SEFIN’s disaster risk financing capacity by establishing responsibilities and guidelines to improve financial resilience associated with climate and disaster risks,New financial instruments implemented to manage disaster risk and emergencies in accordance with the Disaster Risk Financing Strategy
P172614,Tuvalu,Not DRM,"To increase the efficiency and equity of public health care spending, the Recipient, through its Cabinet, has endorsed the Tuvalu Overseas Medical Referral Scheme (TOMRS) Policy.","Results Indicator #1: Public spending on overseas medical treatment as a percentage of GDP
Results Indicator #2: The adult population registered and treated for hypertension and diabetes at enhanced primary health care clinics and specialized NCD outpatient clinic at the PMH"
P172614,Tuvalu,Not DRM,"To strengthen procurement, the Recipient, through its Minister of Finance, has: (i) issued the Public Procurement (Amendment) Regulations 2021 (“Regulations”); and (ii) issued updated Standard Bidding Documents, which reflect the Regulations.","Results Indicator #3: Average share of procurement (by value) executed through competitive bidding, excluding direct procurement of COVID related supplies."
P172614,Tuvalu,Not DRM,"To improve access and quality of education for children with disabilities, the Recipient, through its Cabinet, has approved the Disability-Inclusive Education Policy and Action Plan.","Results Indicator #9: The Ministry of Education, Youth and Sports starts to regularly collect and report education statistics, including students with disabilities and sex-disaggregated data
Results Indicator #8: The percentage of teachers who have attended training and demonstrate improved understanding of inclusive education, GBV, VAC and referral mechanisms"
P172614,Tuvalu,Sector-specific risk reduction measures,"To improve the quality and resilience of buildings, the Recipient, through its Cabinet, has endorsed Phase 1 of the National Building Code.",Results Indicator #6: Percent of new public buildings and dwellings complying with Building Code.
P172614,Tuvalu,Emergency Preparedness and Response,"To strengthen the institutional roles and responsibilities for emergency preparedness and response, the Recipient, through the Chairman of its National Disaster Committee, has updated the Cyclone & Strong Winds Standard Operating Procedure.",Results Indicator #4: Simulation exercises of National Disaster Committee activation of emergency preparedness and response sub-committees within 48 hours of issuance of the Tuvalu Meteorological Serv
P172614,Tuvalu,Adaptive Social Protection,"To improve household-level recovery from natural disasters, the Recipient has enacted the National Disaster Management (Amendment) Act 2021.",Results Indicator #5: Requests for post-disaster assistance assessed and paid out within 3 months of submission of the claim
P172742,Tonga,Not DRM,"To strengthen public sector wage bill management, the Recipient, through its Cabinet, has endorsed an amendment to the Public Service Policy and Instructions 2010 that introduces a limit on overtime allowances in the public service sector.",Results Indicator #4: Public sector wage bill as a share of domestic revenue
P172742,Tonga,Not DRM,"To support enhanced debt management and fiscal sustainability, the Recipient: (i) through its Cabinet, has approved the Medium-Term Debt Strategy (MTDS) Fiscal Years 2021 – 2025 and a Government Guarantee Policy that establishes the criteria and guidelines for assessing and approving requests for government guarantees; and (ii) through its Ministry of Finance, has made the MTDS and the Government Guarantee Policy publicly accessible on its website.","Results Indicator #2: Cash balance as a share of recurrent expenditure (months)
Results Indicator #3: Percent of new external debt that is concessional"
P172742,Tonga,Not DRM,"To foster an inclusive, respectful and safe work environment for the public service sector, the Recipient, through its Cabinet, has approved a sexual harassment policy.","Results Indicator #11: Confidential data is collected and maintained annually on: (i) sexual harassment complaints and how they were dealt with, disaggregated by ministry, procedure followed (formal or informal) and gender; and (ii) officials experiences of sexual harassment, and knowledge and satisfaction of the policy"
P172742,Tonga,Not DRM,"To strengthen financial sector stability, protect customers, and encourage an expansion in financial services, the Recipient, through its Cabinet, has approved a Credit Unions Bill for submission to the Recipient’s Parliament.",Results Indicator #10: Improved reporting on credit union sector regulatory and supervisory activities
P172742,Tonga,Not DRM,"To enhance the management of labor mobility supply, the Recipient, through its Cabinet, has established work ready pools, reformed procedures for recruitment, and enhanced pre-departure training.","Results Indicator #9: Increased number of Tongans in Ministry of Internal Affairs (MIA) worker pools, with increased female participation"
P172742,Tonga,DRM policies and institutions,"To establish a more comprehensive, proactive and integrated model of disaster risk management, the Recipient, through its Cabinet, has approved a Disaster Risk Management Bill for submission to the Recipient’s Parliament.","Results Indicator #5: The Housing Sector Resilience Office (HSRO) is established, and its work plan is submitted to the National Emergency Management Committee on an annual basis
Results Indicator #6: Annual report submitted to the National Disaster Risk Management Committee on the implementation of disaster risk reduction initiatives under the national disaster risk management policy"
P172742,Tonga,Emergency Preparedness and Response,"To protect the population from a public health emergency and support the economic recovery, the Recipient: (i) through its Cabinet has approved the National Deployment and Vaccination Plan for COVID-19 Vaccines 2021-2023 that provides the guiding policy framework for the vaccine rollout and health system strengthening activities; and (ii) through its Minister for Trade and Economic Development, has approved for implementation the special guidelines for expedited clearance of essential medical goods, including COVID-19 vaccines.","Results Indicator #8: Proportion of the eligible population (aged 15 years and over) that have received the COVID-19 vaccine, disaggregated by sex"
